lat,lon,CMFD_lat,CMFD_lon,soil_1_MAJORITY,soil_2_MAJORITY,soil_3_MAJORITY,soil_4_MAJORITY,soil_5_MAJORITY,soil_6_MAJORITY,soil_7_MAJORITY,soil_8_MAJORITY,soil_9_MAJORITY,soil_10_MAJORITY,soil_11_MAJORITY,soil_12_MAJORITY,soil_13_MAJORITY,soil_14_MAJORITY,soil_15_MAJORITY,soil_16_MAJORITY,soil_17_MAJORITY,soil_18_MAJORITY,Soil_htype,ORIG_FID,slope_MEAN,aspect_MEAN,ele_MEAN,Vegetation_type_index,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_14,soil_15,soil_16,soil_17,soil_18
32.3,91.4,32.32,91.36,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  7  12  12  12  12  16  16  16  16  16  16,9862,1.253851225,231.3556315,5018.333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0
32.4,91.4,32.42,91.36,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  7  12  12  12  12  12  13  16  16  16  16,10116,1.416354686,259.5323751,5026.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,13.0,16.0,16.0,16.0,16.0
31.8,91.5,31.82,91.46,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  7  12  12  12  13  13  13  13,8593,0.392317311,190.18490409999998,4600.583333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
31.9,91.5,31.92,91.46,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  7  7  7  7  7  7  12  12  12  13  7  7  13,8845,0.729518443,229.88893509999997,4626.25,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,7.0,7.0,13.0
32.0,91.5,32.02,91.46,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  13  13  14  14,9098,0.8530583829999999,286.9435349,4636.75,9.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0
32.1,91.5,32.12,91.46,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,12,12,12,13,13,13,13, 11  11  11  11  11  11  11  11  11  12  12  12  12  12  13  13  13  13,9353,0.611974582,233.6183523,4607.75,7.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
32.2,91.5,32.22,91.46,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  7  12  12  12  12  12  13  13  13  14  14,9608,1.9740384219999998,155.74266430000003,4875.375,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0
32.3,91.5,32.32,91.46,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  16  16  16  16  16  16  16  16  16  16  16,9863,1.146115194,115.2544581,5056.916667,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
32.4,91.5,32.42,91.46,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  7  12  12  12  12  14  14  14  14  14  14,10117,1.309769034,23.23327231,4970.125,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0
32.5,91.5,32.52,91.46,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12,12,12,12,12,12,12,12,13,13,13, 7  7  7  7  7  7  7  12  12  12  12  12  12  12  12  13  13  14,10368,0.419469673,191.0124642,4863.25,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0
32.6,91.5,32.62,91.46,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12,12,12,12,12,12,12,12,13,13,13, 7  7  7  7  7  7  7  12  12  12  12  12  12  12  12  13  13  13,10615,0.462956011,264.8920873,4940.333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0
31.8,91.6,31.82,91.56,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  13  13  16  16,8594,0.925501358,318.6381022,4716.555556,9.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,16.0,16.0
31.9,91.6,31.92,91.56,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  9  12  12  12  13  13  13  13,8846,0.8013733479999999,182.6804021,4674.916667,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
32.0,91.6,32.02,91.56,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  13  13  14  14,9099,0.38850850600000003,205.8332227,4750.666667,9.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0
32.1,91.6,32.12,91.56,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 11  11  11  11  11  11  11  11  11  12  12  12  12  12  13  13  13  13,9354,0.849246257,282.1860182,4735.777778,7.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
32.2,91.6,32.22,91.56,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  12  12  12  13  13  13  16  16,9609,1.124415636,184.9856923,4702.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,16.0,16.0
32.3,91.6,32.32,91.56,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  13  13  14  14,9864,0.7059695690000001,132.4004652,4901.666667,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0
32.4,91.6,32.42,91.56,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  13  13  16  16,10118,0.464037123,181.9058371,4934.75,9.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,16.0,16.0
32.5,91.6,32.52,91.56,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12,12,12,12,12,12,12,12,13,13,13, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  13  14  14  14,10369,0.512376159,235.47174840000002,4929.166667,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,14.0
32.6,91.6,32.62,91.56,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12,12,12,12,12,12,12,12,13,13,13, 7  7  7  7  7  7  7  12  12  12  12  12  12  12  12  13  13  13,10616,0.527948138,221.8244374,4989.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0
32.7,91.6,32.72,91.56,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,13,13,13,14,14,14,14, 7  7  7  7  7  7  7  9  12  12  12  12  12  12  12  13  13  13,10867,0.654550139,210.79843390000002,4954.583333,19.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0
32.8,91.6,32.82,91.56,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,13,13,13,14,14,14,14, 7  7  7  7  7  7  7  7  12  12  12  13  13  13  14  14  14  14,11119,0.8004056279999999,222.6508874,5100.166667,19.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0
31.8,91.7,31.82,91.66,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  7  7  7  7  7  12  12  12  13  13  13  16  16,8595,0.8009546,303.057162,4790.166667,19.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,16.0,16.0
31.9,91.7,31.92,91.66,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  16  16  16  16,8847,0.838287398,264.94208530000003,4697.625,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,16.0,16.0,16.0,16.0
32.0,91.7,32.02,91.66,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,12,13,13,13,13, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  13  13  14  14,9100,0.616745219,197.6265602,4687.375,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0
32.1,91.7,32.12,91.66,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  14  14  14  14  14  14  14  14,9355,0.99696517,240.54791260000002,4839.333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
